INSCRI2	INSCRI	OPC1	PAAIS	ISENTOS	APROVF2	MATR	CURPAS	IDADE	SEXO	RACA	ENSFUND	ENSMED	TIPOMED	FEZCPV	TIPOCPV	OPCUNICAMP	MOTCARR	RENDA	RBRUTA	QTSVIVEM	CATPAI	CATMAE	INSTRPAI	INSTRMAE	TRABALHA	LEJORNAL
20001002424	1002424	22	-1	0	0	0	0	4	1	-1	2	2	3	2	-1	8	6	4	-1	5	2	8	4	4	2	1
20001002431	1002431	43	-1	0	0	0	0	3	2	-1	2	2	1	2	-1	3	1	4	-1	4	6	8	5	5	1	2
20001002448	1002448	27	-1	0	0	0	0	3	2	-1	2	1	3	0	-1	0	1	7	-1	3	3	8	7	4	1	2
20001002455	1002455	49	-1	0	0	0	0	5	1	-1	2	2	3	2	-1	1	1	5	-1	3	6	8	3	4	1	2
20001002462	1002462	5	-1	0	1	1	5	5	2	-1	1	1	3	1	-1	1	6	9	-1	5	2	4	9	9	1	2
20001002479	1002479	46	-1	0	0	0	0	5	2	-1	1	1	3	1	-1	1	1	9	-1	4	2	4	9	7	1	2
20001002486	1002486	52	-1	0	0	0	0	5	2	-1	4	1	4	2	-1	1	6	8	-1	5	2	8	9	8	1	4
20001002493	1002493	14	-1	0	0	0	0	3	2	-1	2	2	3	2	-1	2	1	4	-1	1	3	8	8	5	1	1
20001002509	1002509	8	-1	0	0	0	0	5	1	-1	3	2	1	2	-1	7	1	8	-1	4	2	8	9	9	1	2
20001002516	1002516	50	-1	0	1	1	50	8	1	-1	2	2	3	1	-1	1	1	4	-1	5	6	8	4	4	1	2
20001002523	1002523	2	-1	0	1	1	2	7	1	-1	3	1	3	1	-1	2	3	7	-1	3	4	3	8	9	1	4
20001002530	1002530	34	-1	0	0	0	0	4	1	-1	5	1	3	2	-1	1	1	6	-1	4	3	3	8	9	1	2
20001002547	1002547	9	-1	0	1	0	0	3	1	-1	4	1	3	2	-1	5	1	6	-1	2	2	3	9	9	1	2
20001002554	1002554	52	-1	0	0	0	0	5	1	-1	2	2	1	1	-1	2	3	5	-1	4	2	2	6	7	5	1
20001002561	1002561	40	-1	0	0	0	0	8	1	-1	6	2	3	1	-1	2	6	5	-1	3	3	8	3	3	5	3
20001002578	1002578	43	-1	0	0	0	0	7	2	-1	2	2	3	1	-1	1	6	3	-1	4	6	3	3	2	1	2
20001002585	1002585	31	-1	0	1	0	0	6	1	-1	2	2	1	2	-1	2	1	5	-1	3	5	8	2	2	5	3
20001002592	1002592	31	-1	0	1	1	31	7	2	-1	2	2	1	2	-1	2	1	5	-1	3	5	8	2	2	5	3
20001002608	1002608	29	-1	0	1	0	0	3	1	-1	1	1	3	2	-1	1	1	5	-1	5	3	4	7	9	3	2
20001002615	1002615	15	-1	0	0	0	0	4	2	-1	2	2	3	2	-1	2	6	5	-1	5	3	8	7	6	1	4
20001002622	1002622	5	-1	0	0	0	0	3	2	-1	2	1	3	2	-1	2	1	7	-1	5	3	4	7	7	3	2
20001002639	1002639	11	-1	0	1	0	0	3	1	-1	1	1	3	2	-1	1	1	6	-1	5	3	8	9	8	1	4
20001002646	1002646	31	-1	0	1	0	0	1	2	-1	1	1	0	2	-1	5	5	5	-1	5	2	8	9	8	1	2
20001002653	1002653	34	-1	0	0	0	0	3	2	-1	2	2	0	2	-1	1	1	5	-1	2	4	3	5	9	1	2
20001002660	1002660	45	-1	0	0	0	0	5	1	-1	4	1	1	1	-1	6	6	6	-1	6	1	3	9	9	1	4
20001002677	1002677	37	-1	0	1	0	0	5	1	-1	2	2	1	2	-1	1	6	4	-1	2	3	2	2	9	5	4
20001002684	1002684	14	-1	0	1	1	14	3	1	-1	2	2	1	1	-1	5	6	6	-1	5	2	4	8	9	1	4
20001002691	1002691	21	-1	0	0	0	0	7	2	-1	3	3	1	1	-1	1	3	5	-1	3	8	8	3	5	1	2
20001002707	1002707	15	-1	0	0	0	0	3	2	-1	2	2	3	2	-1	1	6	5	-1	5	6	8	2	1	1	2
20001002714	1002714	13	-1	0	0	0	0	8	2	-1	2	2	2	2	-1	5	4	4	-1	6	6	8	7	2	2	3
20001002721	1002721	20	-1	0	0	0	0	9	2	-1	3	1	4	2	-1	1	6	5	-1	2	6	8	2	1	1	4
20001002738	1002738	29	-1	0	1	0	0	5	1	-1	1	1	3	1	-1	1	6	9	-1	4	8	8	8	8	2	2
20001002745	1002745	15	-1	0	0	0	0	4	2	-1	2	2	3	1	-1	5	7	4	-1	6	7	8	4	3	1	2
20001002752	1002752	14	-1	0	0	0	0	5	2	-1	2	4	6	1	-1	7	6	4	-1	6	3	3	6	7	1	2
20001002769	1002769	17	-1	0	1	1	17	3	2	-1	1	1	2	2	-1	5	1	8	-1	5	2	2	9	9	1	4
20001002776	1002776	13	-1	0	1	0	0	4	1	-1	1	1	3	2	-1	1	1	7	-1	5	2	8	9	9	1	2
20001002783	1002783	36	-1	0	0	0	0	8	1	-1	2	2	3	1	-1	2	2	2	-1	4	0	7	1	1	5	3
20001002790	1002790	47	-1	0	0	0	0	8	1	-1	2	2	3	2	-1	5	1	4	-1	4	4	4	2	7	5	3
20001002806	1002806	17	-1	0	0	0	0	3	2	-1	1	1	3	1	-1	1	1	5	-1	4	3	3	8	8	1	4
20001002813	1002813	51	-1	0	0	0	0	3	2	-1	2	2	3	1	-1	1	1	4	-1	4	6	8	3	2	1	2
20001002820	1002820	42	-1	0	1	0	0	5	2	-1	1	1	1	1	-1	7	1	7	-1	5	4	2	9	9	1	4
20001002837	1002837	21	-1	0	0	0	0	9	1	-1	2	2	1	1	-1	1	3	6	-1	2	7	7	1	3	5	2
